Name,Gender,Count,Year
Liam,M,5,1947
Liam,M,10,1950
Liam,M,8,1954
Liam,M,12,1955
Liam,M,18,1956
Liam,M,28,1957
Liam,M,24,1958
Liam,M,17,1959
Liam,M,24,1960
Liam,M,27,1961
Liam,M,24,1962
Liam,M,43,1963
Liam,M,38,1964
Liam,M,37,1965
Liam,M,47,1966
Liam,M,60,1967
Liam,M,54,1968
Liam,M,49,1969
Liam,M,49,1970
Liam,M,59,1971
Liam,M,64,1972
Liam,M,62,1973
Liam,M,74,1974
Liam,M,81,1975
Liam,M,72,1976
Liam,M,97,1977
Liam,M,112,1978
Liam,M,120,1979
Liam,M,115,1980
Liam,M,123,1981
Liam,M,157,1982
Liam,M,146,1983
Liam,M,146,1984
Liam,M,150,1985
Liam,M,151,1986
Liam,M,147,1987
Liam,M,170,1988
Liam,M,224,1989
Liam,M,276,1990
Liam,M,271,1991
Liam,M,304,1992
Liam,M,401,1993
Liam,M,668,1994
Liam,M,1206,1995
Liam,M,1747,1996
Liam,M,2112,1997
Liam,M,2209,1998
Liam,M,2708,1999
Liam,M,2781,2000
Liam,M,3029,2001
Liam,M,3381,2002
Liam,M,3565,2003
Liam,M,3827,2004
Liam,M,4152,2005
Liam,M,4514,2006
Liam,M,5141,2007
Liam,M,5980,2008
Liam,M,8565,2009
Liam,M,10930,2010
Liam,M,13448,2011
Liam,M,16816,2012
Liam,M,18150,2013
Liam,M,18478,2014
Liam,M,18400,2015
Liam,M,18259,2016
Liam,M,18849,2017
Liam,M,19957,2018
Liam,M,20601,2019
Liam,M,19828,2020
Liam,M,20365,2021
Liam,M,20456,2022
